,Standard,,,,,,,,,,,Expected,,,,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Agustina Barroso,CBR,26,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Aldana Cometti,CBL,23,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Vanina Correa,GK,35,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Eliana Stabile,LB,25,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Florencia Bonsegundo,RW,25,2.9,1,1,1,4,1,0,25.0,1.40,0.35,0.00,0.00,0.9,0.1,0.03,#ERROR!,-0.1,Matches
Florencia Soledad Jaimes,FW,30,2.8,0,0,0,3,1,0,33.3,01.08,0.36,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2,Matches
Lorena Benitez,DM,20,2.7,0,0,0,3,1,1,33.3,1.10,0.37,0.00,0.00,0.0,0.0,0.01,0.0,0.0,Matches
Ruth Bravo,CMR,27,2.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Estefanía Banini,LW,28,2.4,0,0,0,1,0,0,0.0,0.41,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Miriam Mayorga,CML,29,2.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Adriana Sachs,RB,25,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches